plant t id age layer
1 28 776 8 L2
1 28 834 8 L2
1 28 861 24 L1
1 28 839 12 L2
1 28 852 12 L2
1 28 789 8 L3+
1 28 837 28 L3+
1 28 865 8 L3+
1 28 890 16 L1
1 28 779 20 L2
1 28 842 12 L3+
1 28 792 4 L3+
1 28 881 8 L2
1 28 838 8 L2
1 28 864 8 L2
1 28 860 8 L2
1 28 873 16 L2
1 28 866 8 L2
1 28 847 8 L2
1 28 759 12 L3+
1 28 840 24 L1
1 28 931 28 L1
1 28 871 16 L2
1 28 950 12 L1
1 28 936 16 L1
1 28 985 16 L1
1 28 942 4 L2
1 28 913 4 L2
1 28 981 4 L2
1 28 978 16 L1
1 28 957 12 L2
1 28 986 8 L1
1 28 1008 12 L1
1 28 1002 16 L2
1 28 948 28 L1
1 28 1013 4 L1
1 28 1054 16 L1
1 28 1009 12 L1
1 28 1048 16 L1
1 28 1058 16 L1
1 28 1080 16 L1
1 28 1088 8 L1
1 28 1089 12 L1
1 28 1074 8 L1
1 28 1117 16 L1
1 28 1105 8 L1
1 28 1109 16 L1
1 28 1132 16 L1
1 28 1047 28 L1
1 28 1127 20 L1
1 28 1126 20 L1
1 28 1129 20 L1
1 32 312 4 L3+
1 32 212 12 L3+
1 32 282 8 L3+
1 32 57 8 L3+
1 32 161 32 L3+
1 32 197 8 L2
1 32 478 12 L2
1 32 180 32 L2
1 32 332 8 L3+
1 32 310 32 L1
1 32 302 28 L3+
1 32 234 32 L3+
1 32 94 8 L3+
1 32 120 20 L3+
1 32 374 12 L3+
1 32 241 8 L1
1 32 299 8 L3+
1 32 367 12 L2
1 32 53 4 L3+
1 32 284 16 L3+
1 32 423 12 L2
1 32 276 4 L3+
1 32 350 16 L2
1 32 391 8 L3+
1 32 328 4 L3+
1 32 498 8 L3+
1 32 289 8 L3+
1 32 463 12 L2
1 32 485 8 L2
1 32 316 12 L3+
1 32 483 8 L3+
1 32 72 32 L3+
1 32 431 8 L3+
1 32 428 12 L3+
1 32 323 8 L2
1 32 472 16 L3+
1 32 404 8 L3+
1 32 496 8 L2
1 32 461 4 L3+
1 32 392 8 L3+
1 32 406 32 L2
1 32 412 24 L1
1 32 567 12 L2
1 32 488 8 L2
1 32 539 8 L3+
1 32 448 16 L3+
1 32 369 20 L3+
1 32 545 28 L1
1 32 440 12 L3+
1 32 553 8 L2
1 32 348 8 L3+
1 32 557 12 L2
1 32 571 8 L3+
1 32 579 12 L2
1 32 454 8 L3+
1 32 674 8 L3+
1 32 640 8 L3+
1 32 644 4 L3+
1 32 513 12 L3+
1 32 704 20 L1
1 32 491 8 L2
1 32 517 12 L2
1 32 471 12 L2
1 32 745 20 L1
1 32 713 12 L2
1 32 641 8 L2
1 32 569 8 L3+
1 32 619 8 L3+
1 32 620 8 L3+
1 32 643 8 L2
1 32 669 8 L2
1 32 683 8 L2
1 32 591 4 L2
1 32 777 20 L1
1 32 657 8 L2
1 32 696 8 L3+
1 32 754 16 L3+
1 32 554 12 L2
1 32 420 8 L1
1 32 651 4 L2
1 32 628 8 L2
1 32 827 16 L1
1 32 615 12 L2
1 32 687 12 L3+
1 32 848 20 L2
1 32 798 8 L2
1 32 834 12 L2
1 32 826 8 L2
1 32 821 8 L2
1 32 703 12 L2
1 32 717 12 L1
1 32 708 12 L3+
1 32 804 8 L2
1 32 793 32 L3+
1 32 879 20 L2
1 32 707 8 L3+
1 32 738 12 L3+
1 32 819 20 L1
1 32 832 8 L2
1 32 608 12 L1
1 32 732 8 L2
1 32 954 8 L1
1 32 836 8 L2
1 32 758 12 L1
1 32 816 20 L3+
1 32 820 4 L1
1 32 884 8 L2
1 32 855 12 L2
1 32 916 12 L1
1 32 960 12 L1
1 32 898 8 L2
1 32 893 16 L1
1 32 869 28 L1
1 32 906 8 L2
1 32 948 20 L1
1 32 925 8 L2
1 32 946 12 L1
1 32 860 12 L1
1 32 936 8 L1
1 32 971 12 L2
1 32 1010 12 L1
1 32 984 12 L1
1 32 975 16 L1
1 32 1007 8 L1
1 32 1018 32 L1
1 32 1012 20 L1
1 32 998 8 L1
1 32 994 12 L1
1 32 1053 20 L1
1 32 1004 12 L1
1 32 1029 8 L1
1 32 1013 16 L1
1 32 1064 8 L1
1 32 1031 12 L1
1 32 1061 12 L1
1 36 29 8 L3+
1 36 46 12 L3+
1 36 47 8 L3+
1 36 120 8 L3+
1 36 118 36 L2
1 36 160 24 L3+
1 36 215 NA L2
1 36 52 20 L3+
1 36 182 36 L1
1 36 47 8 L3+
1 36 299 8 L3+
1 36 253 12 L3+
1 36 313 8 L2
1 36 343 8 L3+
1 36 326 36 L1
1 36 323 8 L3+
1 36 264 12 L3+
1 36 274 8 L3+
1 36 170 12 L3+
1 36 351 4 L3+
1 36 353 28 L1
1 36 369 16 L2
1 36 421 8 L3+
1 36 311 8 L3+
1 36 263 16 L2
1 36 466 8 L3+
1 36 321 8 L3+
1 36 247 8 L3+
1 36 465 16 L1
1 36 510 4 L3+
1 36 447 8 L3+
1 36 68 16 L3+
1 36 540 12 L1
1 36 414 16 L3+
1 36 506 8 L2
1 36 383 4 L3+
1 36 385 12 L3+
1 36 411 8 L3+
1 36 518 8 L2
1 36 358 4 L3+
1 36 349 4 L3+
1 36 474 8 L3+
1 36 529 24 L1
1 36 596 12 L1
1 36 505 4 L3+
1 36 417 8 L3+
1 36 467 12 L2
1 36 545 8 L2
1 36 416 4 L3+
1 36 460 8 L3+
1 36 512 8 L3+
1 36 104 4 L3+
1 36 599 8 L3+
1 36 524 20 L1
1 36 519 8 L3+
1 36 507 8 L3+
1 36 593 16 L3+
1 36 485 4 L3+
1 36 621 8 L2
1 36 491 12 L3+
1 36 439 4 L3+
1 36 610 12 L2
1 36 496 12 L3+
1 36 668 8 L2
1 36 576 24 L3+
1 36 550 8 L3+
1 36 644 8 L3+
1 36 691 12 L1
1 36 653 12 L2
1 36 647 12 L2
1 36 483 8 L1
1 36 726 16 L1
1 36 657 4 L3+
1 36 615 12 L2
1 36 584 12 L3+
1 36 517 12 L3+
1 36 554 8 L2
1 36 579 16 L1
1 36 734 8 L2
1 36 685 12 L3+
1 36 633 12 L2
1 36 704 12 L3+
1 36 602 16 L1
1 36 580 4 L3+
1 36 792 8 L1
1 36 712 8 L2
1 36 566 8 L3+
1 36 582 16 L3+
1 36 706 8 L3+
1 36 672 16 L3+
1 36 747 12 L3+
1 36 777 12 L2
1 36 697 8 L2
1 36 675 16 L3+
1 36 454 4 L3+
1 36 778 12 L1
1 36 780 8 L2
1 36 850 24 L1
1 36 689 8 L2
1 36 864 8 L2
1 36 787 16 L2
1 36 869 12 L2
1 36 826 12 L1
1 36 790 12 L2
1 36 836 8 L2
1 36 857 8 L1
1 36 815 8 L2
1 36 902 8 L2
1 36 866 8 L2
1 36 849 12 L1
1 36 759 12 L2
1 36 896 8 L2
1 36 906 8 L1
1 36 915 12 L1
1 36 781 12 L2
1 36 935 8 L1
1 36 931 12 L1
1 36 895 12 L2
1 36 910 16 L2
1 36 950 12 L1
1 36 930 8 L2
1 36 957 12 L2
1 36 945 8 L2
1 36 919 8 L2
1 36 992 28 L1
1 36 971 16 L2
1 36 976 16 L1
1 36 989 12 L2
1 36 952 12 L1
1 36 975 8 L1
1 36 1009 4 L1
1 36 962 8 L1
1 36 1015 12 L1
1 36 999 12 L1
1 36 994 8 L1
1 36 1004 12 L1
1 36 1033 12 L1
1 36 988 8 L1
1 36 921 20 L1
1 36 1023 12 L1
1 36 1031 24 L1
1 36 1013 12 L1
1 36 1043 16 L1
1 36 1042 8 L1
1 36 1071 8 L1
1 36 1069 20 L1
1 36 1078 20 L1
1 36 1040 4 L1
1 36 1052 16 L1
1 36 1086 12 L1
1 36 1073 12 L1
1 36 1098 16 L1
1 40 262 12 L2
1 40 73 8 L3+
1 40 126 12 L2
1 40 152 8 L3+
1 40 153 16 L3+
1 40 179 8 L3+
1 40 180 12 L3+
1 40 209 16 L3+
1 40 77 16 L3+
1 40 198 16 L3+
1 40 235 40 L3+
1 40 142 4 L3+
1 40 264 8 L3+
1 40 185 40 L2
1 40 71 8 L3+
1 40 63 0 L3+
1 40 167 16 L2
1 40 65 8 L3+
1 40 278 24 L3+
1 40 266 8 L3+
1 40 105 12 L3+
1 40 210 8 L3+
1 40 50 16 L3+
1 40 347 16 L1
1 40 148 12 L3+
1 40 335 8 L3+
1 40 271 8 L2
1 40 221 12 L3+
1 40 329 12 L3+
1 40 236 16 L2
1 40 441 24 L1
1 40 436 12 L2
1 40 336 8 L3+
1 40 258 12 L3+
1 40 79 8 L3+
1 40 306 28 L2
1 40 497 12 L2
1 40 316 16 L3+
1 40 99 40 L3+
1 40 278 24 L3+
1 40 449 8 L3+
1 40 591 8 L2
1 40 346 8 L3+
1 40 368 8 L3+
1 40 402 8 L3+
1 40 257 8 L3+
1 40 214 12 L2
1 40 366 20 L3+
1 40 382 8 L3+
1 40 418 12 L3+
1 40 321 28 L1
1 40 443 16 L2
1 40 593 12 L2
1 40 493 20 L3+
1 40 361 8 L3+
1 40 537 12 L3+
1 40 584 8 L2
1 40 601 12 L2
1 40 726 16 L1
1 40 486 16 L3+
1 40 565 16 L1
1 40 600 12 L3+
1 40 522 8 L3+
1 40 437 12 L3+
1 40 485 12 L2
1 40 587 8 L3+
1 40 383 8 L2
1 40 585 20 L1
1 40 491 4 L3+
1 40 547 8 L3+
1 40 764 12 L2
1 40 619 16 L2
1 40 763 20 L1
1 40 501 8 L3+
1 40 576 8 L2
1 40 507 8 L3+
1 40 662 12 L3+
1 40 586 8 L3+
1 40 727 8 L3+
1 40 629 8 L3+
1 40 611 12 L3+
1 40 508 8 L2
1 40 747 12 L1
1 40 674 4 L3+
1 40 784 4 L2
1 40 641 8 L2
1 40 707 20 L1
1 40 645 8 L3+
1 40 664 16 L3+
1 40 651 8 L2
1 40 682 4 L2
1 40 830 16 L1
1 40 823 24 L3+
1 40 528 4 L2
1 40 850 12 L1
1 40 84 16 L2
1 40 628 8 L3+
1 40 543 12 L2
1 40 768 8 L3+
1 40 772 8 L2
1 40 756 8 L2
1 40 649 8 L2
1 40 875 28 L1
1 40 729 8 L2
1 40 912 12 L2
1 40 770 8 L2
1 40 741 8 L2
1 40 702 24 L1
1 40 778 8 L2
1 40 852 12 L3+
1 40 845 16 L1
1 40 859 12 L2
1 40 787 8 L3+
1 40 682 4 L2
1 40 964 12 L1
1 40 946 20 L1
1 40 831 8 L2
1 40 822 32 L2
1 40 867 8 L3+
1 40 945 12 L2
1 40 924 16 L1
1 40 854 8 L2
1 40 760 12 L2
1 40 961 16 L1
1 40 862 16 L2
1 40 900 4 L2
1 40 917 4 L2
1 40 893 8 L2
1 40 915 8 L2
1 40 847 8 L2
1 40 929 16 L1
1 40 914 8 L2
1 40 931 12 L2
1 40 986 12 L2
1 40 846 16 L1
1 40 742 4 L3+
1 40 1003 12 L1
1 40 906 8 L2
1 40 907 12 L1
1 40 949 8 L2
1 40 966 8 L2
1 40 922 16 L1
1 40 996 12 L2
