plant	t	id	layer	m.vol	n.vol	m.x	m.y	m.z	expr	d2t	circ	age
13	48	746	L1	238.733233165	0.40996636	52.3199355965	53.0409111004	28.3445795524	23.74038535	3.72156372710737	2	40
13	48	747	L1	95.4361871189	0.24080314	70.1170964613	69.9323010315	28.2703065751	25.335457	3.69344459317584	2	0
13	48	749	L1	199.133073814	1.475549337	70.0136344384	50.4180288278	28.5579173078	63.603769	1.69320181877005	1	24
13	48	751	L1	132.092426121	1.250935408	73.1043047355	61.4307064283	28.9138007618	79.481034	1.4628902888624	0	16
13	48	752	L1	226.534178606	0.18486778	50.1917394418	62.4921966125	28.9720611819	9.110792	4.43398223982791	3	20
13	48	756	L1	80.0864485738	0.59464025	62.0188465821	48.9118500985	28.7587250292	55.1555923333333	2.78856914640128	1	12
13	48	757	L1	194.899342208	0.59919651	58.8794149694	50.5436105688	29.1944265456	66.877769	2.54975118028993	1	12
13	48	758	L1	212.553018418	1.136932	64.6952483487	52.2970099674	29.2903275818	95.7531965	1.18153943658733	0	24
13	48	759	L1	190.094549129	0.93122179	67.5859371291	65.4454046379	29.4867886555	54.4846853333333	1.98813082949985	1	36
13	48	760	L1	190.931449563	0.405991753	54.8366224366	56.5630699368	29.5348071159	33.38238315	3.05973902019991	2	40
13	48	761	L1	216.048308465	0.428579163	54.8598837105	64.5763274792	29.6781363961	30.130515	3.55812501631123	2	24
13	48	762	L1	163.008512735	0.25505355	58.954934698	66.8189934112	29.5759475571	55.75433	3.16664872809558	2	24
13	48	763	L1	124.402788017	0.514857274	64.2925401842	68.6393797616	29.7590916066	29.0809225	2.76689978764659	2	36
13	48	764	L1	177.147207123	NA	59.2824495305	58.2305069276	30.2239544106	59.6415045	2.14620914143422	1	20
13	48	765	L1	163.924180269	0.93054317	68.3593781259	60.2956817588	29.8821526328	84.1062926666667	0.689714003172367	0	20
13	48	766	L1	141.564169854	1.46760009	61.7910005702	62.4486586349	29.9082782369	69.48988725	1.79272529615573	1	20
13	48	767	L1	170.274777678	1.35805601	66.5115270844	56.8388753892	29.8943009608	106.32819	0.787600933331039	0	20
13	52	674	L1	124.848896227	0.603548844	76.7602339212	50.551996888	25.7057797819	21.4502803333333	4.15068132373056	2	32
13	52	687	L1	238.364638942	1.274346786	70.3482278828	52.0609215049	27.048368427	43.9512796	3.09367806236717	1	28
13	52	689	L1	97.3756479318	0.57346374	65.5828923743	47.4744422789	26.9335768276	25.0941886666667	3.94454737454287	2	0
13	52	690	L1	148.787112892	1.43500589	73.4293774435	58.0638960609	27.4177037442	47.4386452	2.13973880134558	1	0
13	52	693	L1	153.936154	0.61793741	73.3333566161	63.6971833837	27.505675019	64.14542615	2.19814389771612	1	20
13	52	694	L1	237.768157179	0.80637327	64.7175278246	54.0701942111	27.8270963155	57.19847775	2.88916262572183	1	28
13	52	696	L1	226.426231877	0.5574594	58.65475287	52.2002697141	27.5455566786	20.3750626666667	3.5102142767102	2	16
13	52	697	L1	112.963119905	0.04678196	70.2994375962	72.570596797	26.7677504977	6.5904517	4.15474673187209	1	4
13	52	698	L1	222.715764435	0.73596951	54.4117599258	58.5661698467	27.930874718	27.292693	4.09368075431496	2	44
13	52	699	L1	101.84926116	0.07925234	49.1887677514	67.1577203619	27.6091167467	10.203835	5.62971503568804	2	0
13	52	701	L1	248.382023857	0.511446858	54.4446176702	66.9366082124	28.3119213037	20.1662206666667	4.23756541112265	1	28
